Competitors/Matches,2008奥林匹克,2011世锦,2011英联,2012奥林匹克,2012英联,2013世锦,2013英联,2014英联,2015世锦,2015英联,2016奥林匹克,2016英联,2017世锦,2017英联
LIN Dan,5.044135792868179,5.909081372863676,6.080187347266124,7.596227920329518,8.961316146569075,6.382055802383099,4.5787129961984245,3.2465145616935294,1.2300661230945094,2.0798557760842966,3.0088170152724376,6.559845483376846,4.4220333686640405,2.314054637141672
PARK Sung Hwan,0.1557377049180328,0.23683046510224962,0,0,0,0,0,0,0,0,0,0,0,0
Peter Hoeg GADE,0.4304388422035481,2.302034870484636,1.0428359713265456,0,0,0,0,0,0,0,0,0,0,0
Shoji SATO,0.24603174603174602,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEN Jin,1.8516522988505746,2.215731178312393,0.369372258035798,1.2677715922647992,0.4446082069350211,0.400147386241519,0.8766847870640255,0,0,0,0,0,0,0
Erwin KEHLHOFFNER,0.13793103448275862,0,0,0,0,0,0,0,0,0,0,0,0,0
Choong Hann WONG,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
HSIEH Yu Hsing,0.59375,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc ZWIEBLER,0.18181818181818182,0.16363636363636364,2.5444488812803865,0.3586112835025256,0.3312061136681939,0.3419050379286787,0.30771453413581085,0.2769430807222298,0.2492487726500068,0.33779564949311075,0.3040160845437997,1.0934538712581205,0,0
LEE Hyun Il,1.8690918034253006,0.2902007107590946,0.3359343483609784,2.7342307173779687,3.481583253198956,0,0,0,0,0,0,0,0,0
Przemyslaw WACHA,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
BAO Chunlai,0.6710526315789473,0.6039473684210527,0.3404740017172078,0,0,0,0,0,0,0,0,0,0,0
Ville LANG,0.21232876712328766,0,0,0,0,0,0,0,0,0,0,0,0,0
Sony Dwi KUNCORO,0.6102518780380026,0.5492266902342023,0.4943040212107821,0.4448736190897039,0.4003862571807335,0.3603476314626602,0.11707113771870371,0.10536402394683335,0.09482762155215002,0.08534485939693502,0.07681037345724152,0.06912933611151738,0.06221640250036564,0.2549147412748862
Kestutis NAVICKAS,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
LEE Chong Wei,3.3846682075503294,5.978856437394206,6.798303564578358,7.050726441448531,6.033870715766792,6.35183472046446,5.005578107350414,4.520746967324045,6.4740631832082345,4.574482889666042,6.11537118531105,4.304794018778198,3.2775835015677703,6.430078703391554
Kevin CORDON,0,0.8256694700516646,0.7431025230464982,0.36350661213446483,0,0,0,0,0,0,0,0,0,0
Pablo ABIAN,0,0.343203470614277,0.3088831235528493,0.27799481119756436,0.2501953300778079,0.3204358368591178,0,0,0,0,0,0,0,0
Zi Liang Derek WONG,0,0.2716584746761098,0,0,0,0,0,0,0,0,0,0,0,0
H-K S VITTINGHUS,0,1.0309090833862633,0.927818175047637,0.8350363575428733,0.43981534738023653,0.3958338126422129,0.3562504313779916,0.7504229301798896,0.2938684883313606,0.26448163949822456,0.23803347554840212,2.3331785156444083,0,0
Ajay JAYARAM,0,0.3005925133990091,0.2705332620591082,0.2434799358531974,0.21913194226787766,0.1972187480410899,0.17749687323698093,0.15974718591328285,0.14377246732195456,0.1293952205897591,0.1164556985307832,0.10481012867770488,0.19531243441877377,0
Boonsak PONSANA,0,0.2716584746761098,0.9927122442776568,0.8934410198498911,0.804096917864902,0.4029183948654463,0.36262655537890165,0.24821958660294954,0.22339762794265458,0.30481004867722367,0,0,0,0
Tien Minh NGUYEN,0,1.1112622769030978,1.0707907354006188,0.9637116618605569,0.40239995118565614,2.6561949877921442,0.9445132146662562,0.8500618931996305,0.36303554224745915,0,0,0,0,0
Simon SANTOSO,0,0.3454682931308045,0.31092146381772406,0.28369402611950945,0,0,0,0,0,0,0,0,0,0
Sho SASAKI,0,0.9539004844396165,0.8585104359956549,1.3214237953323418,0.4187445716285518,0.3768701144656966,0.21040434889536613,0.24301218268820235,0.21871096441938212,2.1411645559732015,1.921311035775768,0.2536906940835167,0,0
DU Pengyu,0,0.3486670736227564,0.34643229674725895,0.31178906707253307,0.28061016036527975,2.624089388567379,0,0,0,0,0,0,0,0
Kenichi TAGO,0,0,0.31712552416889234,0.2854129717520031,3.291346852505501,2.9189627301900285,0.27177228398984793,0.7578315904798665,0,0,0,0,0,0
CHEN Long,0,0,3.101666568673806,2.903023221831793,1.3546851140792473,1.1099644413139165,5.428938665484314,3.9504361188327857,7.467008198090583,5.814139900027122,6.694642591345801,0.3187395900023671,1.813866713736301,0.3186434265936077
T SAENSOMBOONSUK,0,0,0.0,0.0,0.0,0.0,2.253460211084709,1.9864345830953056,0.3885864308513859,0.3497277877662473,0.31475500898962255,0.2832795080906603,0.2628503790308731,1.0172541090497818
D H RUMBAKA,0,0,0.31493845158841727,0.28344460642957553,1.121154820811929,1.0090393387307361,0.9081354048576625,0.2439559193200012,0,0,0,0,0,0
WANG Zhengming,0,0,0.3623185726238428,0.32608671536145856,0.29347804382531273,0.24203411775875172,0.30104006841952385,1.7649698012628379,0.39456468363371494,0,0,0,0,0
Kazushi YAMADA,0,0,1.1775353610274892,1.0597818249247404,0.3974867891848783,0,0,0,0,0,0,0,0,0
Niluka KARUNARUTINE,0,0,0,0.3831273778485257,0,0,0,0,0,0,0,0,0,0
PARUPALLI Kashyap,0,0,0,1.22920033726402,1.1062803035376179,1.2164533192685998,0.879263271731861,0,0,0,0,0,0,0
WONG Wing Ki Vincent,0,0,0,0.39343882043416184,0.3540949383907457,0.31868544455167114,0.286816900096504,0.25813521008685364,0.23232168907816828,0.20908952017035146,0.18818056815331632,0.1693625113379847,0.8448051007867265,0
Peter Hoer GADE,0,0,0,1.2697230967637696,0,0,0,0,0,0,0,0,0,0
SON Wan Ho,0,0,0,0.328153537675552,0.2953381839079968,0.26580436551719716,0.23922392896547745,1.9571652381098965,0.3562042282804371,0.3205838054523934,1.0388067875849072,0.31918600399396707,1.9645515343720135,0
Jan O JORGENSEN,0,0,0,0.36643811707103313,0.32979430536392984,1.0727768272203857,2.6457261297683354,2.275128065936536,2.8469008014740815,5.416136118223517,0.35976666184154954,1.0492905451624315,0.9443614906461884,0.28633029037566443
Taufik HIDAYAT,0,0,0,0.29315049365682644,1.207186989108401,0,0,0,0,0,0,0,0,0
Rajiv OUSEPH,0,0,0,0,0.3492601782678878,0.314334160441099,0.28290074439698915,0.1994876126544945,0.17953885138904505,0.83101303069683,1.0060604962719004,0.9054544466447104,0.287641948871285,0
LIEW Daren,0,0,0,0,1.3355709216964031,0.3419050379286787,0,0,0,0,0,0,0,0
CHONG Wei Feng,0,0,0,0,0.38231691626732733,0.3193384538561756,0.28740460847055804,0.16038804057421355,0,0,0,0,0,0
Tommy SUGIARTO,0,0,0,0,0,0.8441291845511877,0.963651917940777,0.8672867261466993,0.7805580535320294,0.7025022481788266,0.3572658012329191,0.287751018752137,0,0
Takuma UEDA,0,0,0,0,0,0.3223959496909688,0.243378164767028,0.23606897746853941,0.2124620797216855,0.30531529858031164,0,0,0,0
HU Yun,0,0,0,0,0,0.3173894398185558,0.2856504958367002,0.2570854462530302,1.1362001537970867,1.022580138417378,0.2680043148941098,0,0,0
Sourabh VERMA,0,0,0,0,0,0,0.3098204037484266,0,0,0,0,0,0,0
CHOU Tien Chen,0,0,0,0,0,0,0.21040434889536613,0.23917514822470443,0.215257633402234,0.8237829000258674,1.040238091802434,0.9362142826221908,0.8998186454668051,2.498445031033024
Yuekun CHEN,0,0,0,0,0,0,0.21040434889536613,0,0,0,0,0,0,0
Kento MOMOTA,0,0,0,0,0,0,0,0.7975191260500764,2.8935694492102844,0.9580470088228416,0.8622423079405575,1.081834136450512,0,0
LEE Dong Keun,0,0,0,0,0,0,0,0.7919075898243072,0,0,0,0,0,0
GAO Huan,0,0,0,0,0,0,0,0.24675083165263625,0,0,0,0,0,0
Viktor AXELSEN,0,0,0,0,0,0,0,0,1.2695509743484177,1.087768851505368,2.600774267071009,1.0044686822658628,5.122679645960188,1.1683592308432282
PRANNOY H. S.,0,0,0,0,0,0,0,0,0.40533584597429045,0.3374069957215046,0.30366629614935414,0.27329966653441873,0.24596969988097686,0.21030466155178112
Zulfadli ZULKIFFLI,0,0,0,0,0,0,0,0,0.3108691446811087,0,0,0,0,0
WEI Nan,0,0,0,0,0,0,0,0,1.0955630340777782,0,0,0,0,0
KIDAMBI Srikanth,0,0,0,0,0,0,0,0,0.43109845063683666,0.387988605573153,1.0932114783563305,0.2443670190018148,0.8582597680180367,0
HSU Jen Hao,0,0,0,0,0,0,0,0,0,0.18457799415273426,0,0,0,0
TIAN Houwei,0,0,0,0,0,0,0,0,0,0.2993320760437434,0.26939886843936905,4.297199607301312,0.8631743635558572,1.0393317331761938
Dionysius Hayom RUMBAKA,0,0,0,0,0,0,0,0,0,0.31382342589906254,0,0,0,0
Scott EVENS,0,0,0,0,0,0,0,0,0,0.17607769179043728,0.3029613994455154,0,0,0
nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG Ka Long Angus,0,0,0,0,0,0,0,0,0,0,0.35099186521126785,0.28207705500209485,0.24414054302346722,0.2920898077108071
XUE Song,0,0,0,0,0,0,0,0,0,0,0,2.3039054094813953,0,0
Sameer VERMA,0,0,0,0,0,0,0,0,0,0,0,0.34530122250256434,0,0
SAI PRANEETH B.,0,0,0,0,0,0,0,0,0,0,0,0.32498938588476645,0.24226253884636362,0
Anders ANTONSEN,0,0,0,0,0,0,0,0,0,0,0,0,0.25337829330003087,0
SHI Yu Qi,0,0,0,0,0,0,0,0,0,0,0,0,0.27380247815715947,4.952502648393095
Brice LEVERDEZ,0,0,0,0,0,0,0,0,0,0,0,0,0.20141594799436047,0
WANG Tzu Wei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32354563315658635
HUANG Yu Xiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27431042811101886
ZHAO Jun Peng,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2336718461686457
Kazumasa SAKAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8186603042184397
